daily_spend_30d,daily_income_30d,rent_ratio,subscription_count,top_merchant_share,txn_count_7d,avg_txn_amount_30d,weekday_spend_entropy,cashflow_ratio_30d,merchant_diversity_30d
85,140,0.32,4,0.18,19,27,0.84,1.48,0.71
78,135,0.30,3,0.20,18,24,0.80,1.51,0.74
90,150,0.29,5,0.16,21,29,0.86,1.57,0.69
76,132,0.33,4,0.22,17,23,0.79,1.43,0.76
82,144,0.31,4,0.19,20,26,0.83,1.52,0.73
88,149,0.30,5,0.17,22,28,0.85,1.56,0.70
81,141,0.31,4,0.19,19,25,0.82,1.49,0.72
79,138,0.32,3,0.21,18,24,0.81,1.46,0.75
87,147,0.30,4,0.18,21,27,0.84,1.55,0.71
84,145,0.31,4,0.18,20,26,0.83,1.53,0.72
